"Analysis","Hypotheses","zH1.B","zH2.B","zH3.B","zH1.W","zH2.W","zH3.W"
1,"H1, H2, H3",3.1233509829104,3.1233509829104,3.03768142770535,3.07507112863314,3.07507112863314,2.98822473033962
1,"H1, H2",2.96978596179415,2.96978596179415,NA,2.93029529257384,2.93029529257384,NA
1,"H1, H3",3.01682784681317,NA,2.928520131149,2.99334107391255,NA,2.90443075843947
1,"H2, H3",NA,3.01682784681317,2.928520131149,NA,2.98910530405376,2.90008547808745
1,"H1",2.74996593183522,NA,NA,2.74996593183522,NA,NA
1,"H2",NA,2.74996593183522,NA,NA,2.74996593183522,NA
1,"H3",NA,NA,2.74996593183522,NA,NA,2.74996593183522
2,"H1, H2, H3",2.45595703077445,2.45595703077445,2.34948034361411,2.35705709512478,2.35705709512478,2.24824529982727
2,"H1, H2",2.2641384517189,2.2641384517189,NA,2.18527699125354,2.18527699125354,NA
2,"H1, H3",2.32336176671452,NA,2.21182471802882,2.26903697707595,NA,2.15679762288325
2,"H2, H3",NA,2.32336176671452,2.21182471802882,NA,2.26245736272863,2.14995366109321
2,"H1",1.98113147520398,NA,NA,1.98113147175944,NA,NA
2,"H2",NA,1.98113147520398,NA,NA,1.98113147175944,NA
2,"H3",NA,NA,1.98113147520398,NA,NA,1.98113147175944
